113	No hace falta hacer un gran viaje para encontrar una abeja. Puede estar en un huerto, en un parque o en un balcón florido. Observarla de cerca sin tocarla ya es una forma de conocerla. No todos los insectos amarillos y negros son abejas; y no todas las abejas viven en colmenas gestionadas por el ser humano. El mundo de los polinizadores es más variado de lo que parece.
114	EL MUNDO DE LAS ABEJAS HOY\n23
115	PRUEBA A OBSERVAR
116	Un gesto útil
117	Elige plantas que florezcan en periodos diferentes. Deja, cuando sea posible, algún rincón menos ordenado. Si pones agua, utiliza un recipiente bajo con piedras donde los insectos puedan posarse. Sigue siempre las indicaciones para los tratamientos de las plantas. Ante un enjambre, evita iniciativas improvisadas y contacta con un apicultor o con el servicio competente del territorio. Pequeñas decisiones repetidas pueden cambiar un lugar.
118	¿Qué flores visitan en tu barrio? Anota el mes y fotografía sin molestar.
119	EL MUNDO DE LAS ABEJAS HOY\n24
120	ENVÍANOS TU HISTORIA
121	El territorio cuenta
122	Una floración recuperada, un prado cortado en el momento equivocado, un apicultor trabajando: son historias que merecen atención. Esta página inaugura un espacio para los lectores. Un aviso útil indica el lugar, la fecha y lo que se ha observado. Una fotografía ayuda, pero no basta para determinar la causa de una mortandad o diagnosticar un problema de la colmena. Los testimonios serán verificados antes de publicarse.
123	Fotos, preguntas y observaciones pueden enviarse a los contactos de la última página.
124	EL MUNDO DE LAS ABEJAS HOY\n25
125	EN EL PRÓXIMO NÚMERO
126	Vuestras preguntas
127	Cada pregunta es una invitación a\nobservar mejor.
128	¿Duermen las abejas? Tienen periodos de descanso. ¿Por qué vuelven precisamente a casa? Utilizan el sol, los olores y los puntos de referencia. ¿Todas pican? No: los zánganos no tienen aguijón y muchas abejas no pican si no son molestadas. ¿Cuánto vive una obrera? Depende del periodo del año y del trabajo que realiza. Las preguntas más sencillas son a menudo las que abren las mejores historias.
129	Envíanos una pregunta: podría convertirse en el punto de partida de una nueva página.
130	EL MUNDO DE LAS ABEJAS HOY\n26
131	LUGARES  /  EXPERIENCIAS
132	Galena delle Api
133	ALVEOTERAPIA INTEGRADA  ·  GALENA DELLE API
134	En Castel d’Ario, Galena delle Api es un lugar para acercarse al mundo de la colmena. El hilo conductor es la Alveoterapia Integrada: conocer a las abejas, observar lo que producen y vivir una experiencia mediante sistemas específicos. Aquí también se encuentran sistemas diseñados para acompañar el descubrimiento de los aromas vinculados a la colmena. El recorrido invita a detenerse, observar y escuchar: cada producto y cada objeto se convierten en una ocasión para volver a la historia de las abejas.
135	UN LUGAR REAL
136	Galena delle Api · Via XX Settembre 20/A · Castel d’Ario (MN).
137	EL MUNDO DE LAS ABEJAS HOY\n27
138	UN LUGAR  /  UN PROYECTO
139	De la colmena a las personas
140	GALENA DELLE API  ·  CASTEL D’ARIO
141	Después de ver cómo las abejas recolectan, construyen y protegen la colonia, los productos de la colmena adquieren otro significado. La miel, el polen, el propóleo y la cera cuentan gestos diferentes. En la Galena también pueden conocerse preparados y líneas específicas, incluida la Línea Veneno. El relato parte siempre de la abeja: un objeto en una estantería se vuelve interesante cuando sabemos de qué gesto de la abeja nace.
142	Cada producto remite a una función en la colmena: reserva, alimento, estructura o defensa.
143	EL MUNDO DE LAS ABEJAS HOY\n28
144	DOS ESTACIONES  /  UNA HISTORIA
145	La colmena todo el año
146	PRIMAVERA / VERANO\nOTOÑO / INVIERNO
147	OASIS DEL BUSATELLO\nGALENA DELLE API
148	En primavera y verano la experiencia puede acercarse a las colmenas reales en el entorno natural. En otoño e invierno continúa en los espacios de Galena delle Api mediante sistemas específicos. Son dos formas de encontrarse con la misma historia, con condiciones y modalidades distintas. La experiencia de la colmena durante todo el año es una invitación al conocimiento, a la observación y al respeto por las abejas.
149	COLMENAS REALES EN EL OASIS DEL BUSATELLO
150	Las dos experiencias pertenecen al mismo proyecto y siguen el ritmo de las estaciones.
151	DOS ESTACIONES
152	Fuera, el entorno y las colmenas. Dentro, un espacio para seguir descubriendo.
153	OASIS  ·  ARCHIVO LA FABBRICA DELLE API
154	EL MUNDO DE LAS ABEJAS HOY\n29
155	LA FABBRICA DELLE API  ·  CASTEL D’ARIO
156	Algo más grande
157	Una abeja sobre una flor parece una escena diminuta. Pero alrededor hay un territorio, el trabajo de un apicultor, plantas que dan alimento a otros animales y personas capaces de tomar decisiones cuidadosas. No podemos resolverlo todo con un solo gesto. Pero sí podemos aprender a mirar, reconocer los problemas reales y cultivar lo que funciona. La historia de las abejas también habla del paisaje que compartimos.
158	FOTO  ARCHIVO LA FABBRICA DELLE API
159	EL MUNDO DE LAS ABEJAS HOY\n30
160	NÚMERO 01  ·  SEPTIEMBRE 2026\nHASTA PRONTO
161	SIGAMOS JUNTOS
162	¡Hasta pronto, y nos vemos en\nla próxima edición!
163	Este número termina, pero el viaje continúa. Todavía quedan historias que contar, fotografías que observar y preguntas que hacer. Incluso podrías encontrar una imagen o un testimonio tuyo en la próxima edición. Escríbenos: fotos, avisos, ideas y sugerencias son bienvenidos.
164	LA FABBRICA DELLE API
165	Alveoterapia Integrada by ALTHEA 12830
166	GALENA DELLE API
167	Via XX Settembre 20/A · Castel d’Ario (MN)
168	DESCUBRE LAS NUEVAS
169	EDICIONES
